video_id,video_title,video_view_count,video_like_count,comment_count,tags,published_at,influencer_id,category_id,duration,embed_link,thumbnail_url
cCRPpnDp6v8,Tutorial Biar Gak Kena Tipu,125125,2813,322,raditya dika,2024-10-24T12:00:46Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:37:36,https://www.youtube.com/embed/cCRPpnDp6v8,https://i.ytimg.com/vi/cCRPpnDp6v8/hqdefault.jpg
hmFW2hbUqqA,"Yang Suka Micin, Nonton Ini!",3659215,89320,3814,raditya dika,2024-10-22T12:01:00Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:50:05,https://www.youtube.com/embed/hmFW2hbUqqA,https://i.ytimg.com/vi/hmFW2hbUqqA/hqdefault.jpg
isaYoV5FQnY,Mitos dan Fakta Laki-Laki 50 Tahun,649424,11780,486,raditya dika,2024-10-18T13:05:57Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:43:08,https://www.youtube.com/embed/isaYoV5FQnY,https://i.ytimg.com/vi/isaYoV5FQnY/hqdefault.jpg
iJCjfU-lhV8,Tersesat Seperti di Film-Film,537143,15013,1061,raditya dika,2024-10-16T11:52:48Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:54:20,https://www.youtube.com/embed/iJCjfU-lhV8,https://i.ytimg.com/vi/iJCjfU-lhV8/hqdefault.jpg
7dYuziF0ITo,Dari Musik Turun ke Hati,76501,1909,143,raditya dika,2024-10-14T12:12:09Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:38:54,https://www.youtube.com/embed/7dYuziF0ITo,https://i.ytimg.com/vi/7dYuziF0ITo/hqdefault.jpg
NdsHlBsqCjM,"Yang Suka Disuruh-Suruh, Nonton Ini!",485765,15262,1528,raditya dika,2024-10-11T12:00:33Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:44:39,https://www.youtube.com/embed/NdsHlBsqCjM,https://i.ytimg.com/vi/NdsHlBsqCjM/hqdefault.jpg
aQQDewhx59s,New leason learned👆🏻,1148870,1565,70,,2024-10-10T05:15:23Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:01:01,https://www.youtube.com/embed/aQQDewhx59s,https://i.ytimg.com/vi/aQQDewhx59s/hqdefault.jpg
1zhhZfD_AOc,Ketika Dua Juara Stand Up Comedy Bertemu..,807341,17628,647,raditya dika,2024-10-09T12:00:05Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:43:50,https://www.youtube.com/embed/1zhhZfD_AOc,https://i.ytimg.com/vi/1zhhZfD_AOc/hqdefault.jpg
qk8bjWV4K3k,"Yang Punya Trauma, Nonton Ini!",373887,10676,905,raditya dika,2024-10-07T12:01:04Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:42:43,https://www.youtube.com/embed/qk8bjWV4K3k,https://i.ytimg.com/vi/qk8bjWV4K3k/hqdefault.jpg
Ekqp44Ma16E,"Maaf Cuma Sebentar, Pinggang Saya Sakit🙏🏼",1995095,58288,3001,raditya dika,2024-10-04T12:00:14Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:22:43,https://www.youtube.com/embed/Ekqp44Ma16E,https://i.ytimg.com/vi/Ekqp44Ma16E/hqdefault.jpg
5lRSrQ4d6Iw,Apa Kabar Nessie Judge?,1112680,31294,1477,raditya dika,2024-10-02T12:00:10Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:51:45,https://www.youtube.com/embed/5lRSrQ4d6Iw,https://i.ytimg.com/vi/5lRSrQ4d6Iw/hqdefault.jpg
YFsaBaf9fCU,"Yang Mau Diet, Nonton Ini!",326277,7016,414,raditya dika,2024-09-30T12:48:45Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:31:42,https://www.youtube.com/embed/YFsaBaf9fCU,https://i.ytimg.com/vi/YFsaBaf9fCU/hqdefault.jpg
GgM_YIV1fIU,(Saya + Istri) x (Shakira + Ibunya)!,758553,23414,1337,raditya dika,2024-09-27T12:00:16Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:51:26,https://www.youtube.com/embed/GgM_YIV1fIU,https://i.ytimg.com/vi/GgM_YIV1fIU/hqdefault.jpg
7EDqQuLcwZg,Isyana Sarasvati Terlalu Komedi!,1262222,32053,1280,raditya dika,2024-09-25T12:06:02Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:39:23,https://www.youtube.com/embed/7EDqQuLcwZg,https://i.ytimg.com/vi/7EDqQuLcwZg/hqdefault.jpg
bsInsW2-jK4,Komedian Ini Optimis Generasi Emas di 20450!,568431,8993,513,raditya dika,2024-09-24T12:00:41Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:09:58,https://www.youtube.com/embed/bsInsW2-jK4,https://i.ytimg.com/vi/bsInsW2-jK4/hqdefault.jpg
vzC8W1OdZIE,Misteri Perkemahan Terlarang,1134353,30216,1425,raditya dika,2024-09-20T13:07:46Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:04:42,https://www.youtube.com/embed/vzC8W1OdZIE,https://i.ytimg.com/vi/vzC8W1OdZIE/hqdefault.jpg
gRT_LpVSlgo,Meong meong meong~,1601013,1173,80,,2024-09-19T14:00:09Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:00:16,https://www.youtube.com/embed/gRT_LpVSlgo,https://i.ytimg.com/vi/gRT_LpVSlgo/hqdefault.jpg
qtsuRFU_5xE,Begini Caranya Jualan Podcast,102499,2214,183,raditya dika,2024-09-18T12:01:03Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:57:34,https://www.youtube.com/embed/qtsuRFU_5xE,https://i.ytimg.com/vi/qtsuRFU_5xE/hqdefault.jpg
uLLEk3jHMKo,Inilah Raja YouTube Membership Indonesia,1376617,46157,3208,raditya dika,2024-09-17T12:00:59Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:49:58,https://www.youtube.com/embed/uLLEk3jHMKo,https://i.ytimg.com/vi/uLLEk3jHMKo/hqdefault.jpg
-U_90dMi-bA,Bedanya Saya dengan Dany Beler,326502,6771,391,raditya dika,2024-09-13T12:00:00Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:58:12,https://www.youtube.com/embed/-U_90dMi-bA,https://i.ytimg.com/vi/-U_90dMi-bA/hqdefault.jpg
Js3Mp43eAhU,"Yang Lagi Cari Jodoh, Nonton Ini!",578223,13918,816,raditya dika,2024-09-11T12:36:09Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:04:24,https://www.youtube.com/embed/Js3Mp43eAhU,https://i.ytimg.com/vi/Js3Mp43eAhU/hqdefault.jpg
oLFNE1bTKGw,Inilah Manager Sepakbola Terbaik di Dunia!,1022657,32776,2648,raditya dika,2024-09-10T11:45:32Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:10:11,https://www.youtube.com/embed/oLFNE1bTKGw,https://i.ytimg.com/vi/oLFNE1bTKGw/hqdefault.jpg
wq6PJEnZ4i0,"Umur Lagu Pongki Barata, 1000 Tahun Lamanya",145598,3341,309,raditya dika,2024-09-06T11:30:27Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:43:15,https://www.youtube.com/embed/wq6PJEnZ4i0,https://i.ytimg.com/vi/wq6PJEnZ4i0/hqdefault.jpg
ZOQhVk_YuSY,"Yang Capek Jadi Dewasa, Nonton Ini!",652008,16725,814,raditya dika,2024-09-04T12:00:45Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:56:21,https://www.youtube.com/embed/ZOQhVk_YuSY,https://i.ytimg.com/vi/ZOQhVk_YuSY/hqdefault.jpg
ZIzzzvETjv8,Dari Lawan Jadi Kawan,1522416,73863,3651,raditya dika,2024-09-02T12:00:41Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:45:09,https://www.youtube.com/embed/ZIzzzvETjv8,https://i.ytimg.com/vi/ZIzzzvETjv8/hqdefault.jpg
n8OeyIfJBV8,Dari Mati Rasa Sampai Yura Yunita,502807,12011,373,raditya dika,2024-08-30T12:01:02Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:53:40,https://www.youtube.com/embed/n8OeyIfJBV8,https://i.ytimg.com/vi/n8OeyIfJBV8/hqdefault.jpg
1N4lY9kk8qw,"Yang Lagi Pegel-Pegel, Nonton Ini!",245276,6226,373,raditya dika,2024-08-28T12:00:01Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:29:12,https://www.youtube.com/embed/1N4lY9kk8qw,https://i.ytimg.com/vi/1N4lY9kk8qw/hqdefault.jpg
ZV9X-3qTUdU,"Maaf, Saya Gemetaran.. 🙏",643976,22182,2224,raditya dika,2024-08-26T11:30:18Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:18:05,https://www.youtube.com/embed/ZV9X-3qTUdU,https://i.ytimg.com/vi/ZV9X-3qTUdU/hqdefault.jpg
taWe5iXT9N4,Putri Tanjung Tidak Berubah,248693,5695,344,raditya dika,2024-08-23T12:01:18Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:43:26,https://www.youtube.com/embed/taWe5iXT9N4,https://i.ytimg.com/vi/taWe5iXT9N4/hqdefault.jpg
Mb0nF8qoxZc,"Yang Mau Nikah Sama Orang Korea, Nonton Ini!",986356,43333,1344,raditya dika,2024-08-22T12:00:22Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:42:57,https://www.youtube.com/embed/Mb0nF8qoxZc,https://i.ytimg.com/vi/Mb0nF8qoxZc/hqdefault.jpg
toojhrV2Abs,Jurus Pamungkas Ketika Bikin Lagu,205561,6581,574,raditya dika,2024-08-21T12:01:02Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:40:36,https://www.youtube.com/embed/toojhrV2Abs,https://i.ytimg.com/vi/toojhrV2Abs/hqdefault.jpg
BQqtHD6jXPY,Cara Pintar Dapat Jodoh,531653,14418,871,raditya dika,2024-08-19T11:30:06Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:51:35,https://www.youtube.com/embed/BQqtHD6jXPY,https://i.ytimg.com/vi/BQqtHD6jXPY/hqdefault.jpg
30gnx0KpSO0,Hidup Dua Orang Ini Berubah Setelah Makan Siang,204571,4860,299,raditya dika,2024-08-16T12:00:06Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:57:38,https://www.youtube.com/embed/30gnx0KpSO0,https://i.ytimg.com/vi/30gnx0KpSO0/hqdefault.jpg
vFBwsuf7I7U,Apa Kabar Aulion?,230709,7738,483,raditya dika,2024-08-15T12:00:56Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:45:34,https://www.youtube.com/embed/vFBwsuf7I7U,https://i.ytimg.com/vi/vFBwsuf7I7U/hqdefault.jpg
EMSL-V2E2ew,Podcast Ini Tentang Podcast Ini,164214,5972,1128,raditya dika,2024-08-14T12:00:12Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:21:18,https://www.youtube.com/embed/EMSL-V2E2ew,https://i.ytimg.com/vi/EMSL-V2E2ew/hqdefault.jpg
EeLYwc04UDo,Maafin gue is,153002,6116,28,,2024-08-14T03:24:34Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:00:51,https://www.youtube.com/embed/EeLYwc04UDo,https://i.ytimg.com/vi/EeLYwc04UDo/hqdefault.jpg
JvC0nwdz_wM,Cewek Cantik Ini Bisa Baca Orang?,478359,12635,762,raditya dika,2024-08-13T11:30:14Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:51:10,https://www.youtube.com/embed/JvC0nwdz_wM,https://i.ytimg.com/vi/JvC0nwdz_wM/hqdefault.jpg
9iis1bc0UBs,"Sebenernya Bingung Mau Ngobrolin Apa di Video Ini Tapi Kalau Mau Nonton Boleh Aja, Seru Juga Kok..",254469,6219,538,raditya dika,2024-08-12T12:00:11Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:58:08,https://www.youtube.com/embed/9iis1bc0UBs,https://i.ytimg.com/vi/9iis1bc0UBs/hqdefault.jpg
600Vx9joWpg,"Yang Bisa Bahasa Indonesia, Nonton Ini!",721446,17806,1892,raditya dika,2024-08-09T11:30:03Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:16:41,https://www.youtube.com/embed/600Vx9joWpg,https://i.ytimg.com/vi/600Vx9joWpg/hqdefault.jpg
wm0lzAy_v_A,Beginilah Para Pemimpin Negara Konoha,252949,6695,508,raditya dika,2024-08-08T12:00:59Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:00:35,https://www.youtube.com/embed/wm0lzAy_v_A,https://i.ytimg.com/vi/wm0lzAy_v_A/hqdefault.jpg
Zj2Un5tj_A0,Inilah India Introvert Terlucu,425874,9086,446,raditya dika,2024-08-07T11:30:30Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:00:38,https://www.youtube.com/embed/Zj2Un5tj_A0,https://i.ytimg.com/vi/Zj2Un5tj_A0/hqdefault.jpg
tCBihpXZRXI,Nasi Tempong Apa Nasi Tempong?,498322,10596,452,raditya dika,2024-08-06T11:30:33Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:31:07,https://www.youtube.com/embed/tCBihpXZRXI,https://i.ytimg.com/vi/tCBihpXZRXI/hqdefault.jpg
8GFNoO13YtA,Ada yang nama bapaknya Joko?,82222,3528,45,,2024-08-06T08:39:21Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:01:00,https://www.youtube.com/embed/8GFNoO13YtA,https://i.ytimg.com/vi/8GFNoO13YtA/hqdefault.jpg
bmLG5fJxrzQ,Dodit dan Rumah Berhantunya,657057,14600,583,raditya dika,2024-08-05T12:00:39Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:45:46,https://www.youtube.com/embed/bmLG5fJxrzQ,https://i.ytimg.com/vi/bmLG5fJxrzQ/hqdefault.jpg
WEr6Y6fD_Ok,Komika Ini Laki Abis,300144,6168,287,raditya dika,2024-08-02T11:30:16Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:51:01,https://www.youtube.com/embed/WEr6Y6fD_Ok,https://i.ytimg.com/vi/WEr6Y6fD_Ok/hqdefault.jpg
pqnu_d_qBgc,"Yang Punya Gigi, Nonton Ini!",442919,10618,748,raditya dika,2024-08-01T12:00:58Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:49:45,https://www.youtube.com/embed/pqnu_d_qBgc,https://i.ytimg.com/vi/pqnu_d_qBgc/hqdefault.jpg
T9ea0RwqHhs,Kisah Cinta Komedian Cikarang,499105,9377,517,raditya dika,2024-07-31T12:35:26Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:57:51,https://www.youtube.com/embed/T9ea0RwqHhs,https://i.ytimg.com/vi/T9ea0RwqHhs/hqdefault.jpg
6LA1rjNtAKg,Emang beda kalau udah pinter,2309434,143174,611,,2024-07-31T11:27:10Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:00:58,https://www.youtube.com/embed/6LA1rjNtAKg,https://i.ytimg.com/vi/6LA1rjNtAKg/hqdefault.jpg
4-uRG2PCOHU,Cantik + Pintar + Prestasi = Xaviera,2582607,88763,3058,raditya dika,2024-07-30T11:30:02Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:52:45,https://www.youtube.com/embed/4-uRG2PCOHU,https://i.ytimg.com/vi/4-uRG2PCOHU/hqdefault.jpg
Ft2Rz3GiAv4,Ketika ketipu tapi kena biaya admin.,609642,26102,198,,2024-07-30T05:36:33Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:00:54,https://www.youtube.com/embed/Ft2Rz3GiAv4,https://i.ytimg.com/vi/Ft2Rz3GiAv4/hqdefault.jpg
kjKAi_KWPLc,Kesaksian Mantan Satpam,341004,8950,419,raditya dika,2024-07-29T12:05:10Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:38:24,https://www.youtube.com/embed/kjKAi_KWPLc,https://i.ytimg.com/vi/kjKAi_KWPLc/hqdefault.jpg
KzC_xIffCV4,"Gue pikir, gue prioritas",113371,3989,53,,2024-07-29T05:49:40Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:01:00,https://www.youtube.com/embed/KzC_xIffCV4,https://i.ytimg.com/vi/KzC_xIffCV4/hqdefault.jpg
6_yoreTw6O8,Andovi Pengen Stand Up Comedy,436925,10973,899,raditya dika,2024-07-26T11:30:05Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:11:31,https://www.youtube.com/embed/6_yoreTw6O8,https://i.ytimg.com/vi/6_yoreTw6O8/hqdefault.jpg
